codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3,400.0,300.0,300.0
BR0002,3,400.0,300.0,271.9
BR0003,3,400.0,299.0,178.0
BR0004,3,400.0,300.0,244.2
BR0005,3,400.0,300.0,257.0
BR0006,3,400.0,300.0,288.9
BR0007,3,400.0,300.0,300.0
BR0008,3,400.0,300.0,199.4
BR0009,3,400.0,300.0,179.0
BR0010,3,400.0,300.0,162.5
BR0011,3,400.0,300.0,300.0
BR0012,3,400.0,300.0,210.2
BR0013,3,400.0,300.0,233.6
BR0014,3,400.0,300.0,244.2
BR0015,3,400.0,300.0,257.0
BR0016,3,400.0,300.0,244.2
BR0017,3,400.0,300.0,233.6
BR0018,3,400.0,300.0,300.0
BR0019,3,398.0,277.0,256.0
BR0020,3,400.0,277.2,198.5
BR0021,3,400.0,240.0,215.5
BR0022,3,400.0,274.0,225.0
BR0023,3,400.0,269.8,179.4
BR0024,3,398.0,277.0,256.0
BR0025,3,400.0,300.0,179.0
BR0026,3,400.0,300.0,219.8
BR0027,3,400.0,300.0,179.0
BR0028,3,400.0,300.0,219.8
BR0029,3,400.0,300.0,179.0
BR0030,3,400.0,300.0,179.0
BR0031,3,400.0,300.0,179.0
BR0032,3,400.0,300.0,162.5
BR0033,3,400.0,300.0,199.4
BR0034,3,400.0,240.0,195.8
BR0035,3,400.0,300.0,225.0
BR0036,3,400.0,300.0,162.5
BR0037,3,400.0,269.8,252.8
BR0038,3,400.0,269.8,252.8
BR0039,3,398.0,277.0,256.0
BR0040,3,400.0,269.8,252.8
BR0041,3,400.0,269.8,252.8
BR0042,3,400.0,277.2,198.5
BR0043,3,400.0,235.4,158.9
BR0044,3,400.0,235.4,158.9
BR0045,3,400.0,199.6,144.5
BR0046,3,400.0,235.4,158.9
BR0047,3,400.0,235.4,158.9
BR0048,3,400.0,274.0,225.0
BR0049,3,398.0,239.0,264.0
BR0050,3,400.0,240.0,233.0
BR0051,3,400.0,274.0,225.0
BR0052,3,400.0,240.0,250.6
BR0053,3,400.0,240.0,233.0
BR0054,3,398.0,239.0,264.0
BR0055,3,400.0,240.0,250.6
BR0056,3,400.0,240.0,250.6
BR0057,3,400.0,239.0,244.0
BR0058,3,400.0,199.6,144.5
BR0059,3,398.0,239.0,264.0
BR0060,3,400.0,239.0,244.0
BR0061,3,400.0,239.0,244.0
BR0062,3,400.0,239.0,244.0
BR0063,3,400.0,239.0,244.0
BR0064,3,398.0,239.0,264.0
BR0065,3,400.0,299.0,178.0
BR0066,3,400.0,300.0,162.5
BR0067,3,400.0,269.8,252.8
BR0068,3,400.0,300.0,219.8
BR0069,3,400.0,274.0,225.0
BR0070,3,400.0,277.2,198.5
BR0071,3,400.0,274.0,225.0
BR0072,3,400.0,274.0,225.0
BR0073,3,400.0,299.0,178.0
BR0074,3,400.0,300.0,257.0
BR0075,3,400.0,300.0,271.9
BR0076,3,400.0,269.8,179.4
BR0077,3,400.0,300.0,247.4
